Start date; Duration; Assigned task;Category;Type
1/12/21 14:58;60;Minería de datos;Programming;Levelling
1/12/21 16:32;60;Minería de datos;Programming;Levelling
1/12/21 17:35;60;Minería de datos;Programming;Levelling
1/12/21 18:42;60;Minería de datos;Programming;Levelling
1/12/21 19:48;60;Minería de datos;Programming;Levelling
1/12/21 21:12;60;Minería de datos;Programming;Levelling
1/12/21 22:12;60;Minería de datos;Programming;Levelling
1/12/21 23:12;60;Minería de datos;Programming;Levelling
7/12/21 10:07;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/12/21 11:36;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/12/21 13:04;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/12/21 18:09;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/12/21 19:28;60;Programación para la ciencia de datos;Programming;Levelling
8/12/21 11:51;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/12/21 11:55;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/12/21 13:11;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/12/21 14:27;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/12/21 17:17;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
