Start date; Duration; Assigned task;Category;Type
30/9/21 9:40;60;Programación en scripting;Programming;Levelling
30/9/21 10:57;60;Programación en scripting;Programming;Levelling
30/9/21 12:45;60;Programación en scripting;Programming;Levelling
30/9/21 14:15;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
30/9/21 17:14;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
1/10/21 12:00;60;Fundamentos de la ciencia de datos;Miscellany;Master
1/10/21 13:13;60;Fundamentos de la ciencia de datos;Miscellany;Master
1/10/21 16:38;60;Tipología y ciclo de vida de los datos;Miscellany;Master
1/10/21 18:08;60;Programación en scripting;Programming;Levelling
4/10/21 11:47;60;Tipología y ciclo de vida de los datos;Miscellany;Master
4/10/21 12:47;60;Minería de datos;Programming;Levelling
4/10/21 14:21;60;Minería de datos;Programming;Levelling
4/10/21 17:47;60;Programación para la ciencia de datos;Programming;Levelling
4/10/21 19:15;60;Programación para la ciencia de datos;Programming;Levelling
5/10/21 8:27;60;Programación en scripting;Programming;Levelling
5/10/21 9:27;60;Programación en scripting;Programming;Levelling
5/10/21 10:58;60;Programación en scripting;Programming;Levelling
5/10/21 12:53;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
5/10/21 14:10;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
6/10/21 10:18;60;Minería de datos;Programming;Levelling
6/10/21 11:20;60;Minería de datos;Programming;Levelling
6/10/21 13:02;60;Programación para la ciencia de datos;Programming;Levelling
6/10/21 14:02;60;Programación para la ciencia de datos;Programming;Levelling
6/10/21 17:00;60;Programación para la ciencia de datos;Programming;Levelling
6/10/21 18:18;60;Tipología y ciclo de vida de los datos;Miscellany;Master
7/10/21 9:16;60;Programación en scripting;Programming;Levelling
7/10/21 10:55;60;Programación en scripting;Programming;Levelling
7/10/21 11:55;60;Programación en scripting;Programming;Levelling
7/10/21 13:47;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
7/10/21 16:43;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
8/10/21 10:26;60;Programación en scripting;Programming;Levelling
8/10/21 11:53;60;Programación en scripting;Programming;Levelling
8/10/21 13:27;60;Programación en scripting;Programming;Levelling
8/10/21 14:34;60;Programación en scripting;Programming;Levelling
8/10/21 17:08;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
8/10/21 18:17;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
9/10/21 13:14;60;Fundamentos de la ciencia de datos;Miscellany;Master
9/10/21 14:14;60;Fundamentos de la ciencia de datos;Miscellany;Master
11/10/21 10:39;60;Minería de datos;Programming;Levelling
11/10/21 11:59;60;Minería de datos;Programming;Levelling
11/10/21 13:36;60;Tipología y ciclo de vida de los datos;Miscellany;Master
11/10/21 14:52;60;Tipología y ciclo de vida de los datos;Miscellany;Master
11/10/21 17:54;60;Programación para la ciencia de datos;Programming;Levelling
12/10/21 10:41;60;Programación en scripting;Programming;Levelling
12/10/21 11:55;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
12/10/21 13:02;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
12/10/21 14:22;60;Fundamentos de la ciencia de datos;Miscellany;Master
12/10/21 18:30;60;Programación para la ciencia de datos;Programming;Levelling
12/10/21 23:10;60;Programación para la ciencia de datos;Programming;Levelling
13/10/21 11:03;60;Programación para la ciencia de datos;Programming;Levelling
13/10/21 12:25;60;Programación para la ciencia de datos;Programming;Levelling
13/10/21 13:26;60;Programación para la ciencia de datos;Programming;Levelling
13/10/21 14:42;60;Tipología y ciclo de vida de los datos;Miscellany;Master
13/10/21 17:53;60;Tipología y ciclo de vida de los datos;Miscellany;Master
13/10/21 22:37;60;Fundamentos de la ciencia de datos;Miscellany;Master
13/10/21 23:53;60;Programación para la ciencia de datos;Programming;Levelling
14/10/21 10:42;60;Programación en scripting;Programming;Levelling
14/10/21 11:42;60;Programación en scripting;Programming;Levelling
14/10/21 13:18;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
14/10/21 23:05;60;Programación para la ciencia de datos;Programming;Levelling
15/10/21 9:45;60;Programación para la ciencia de datos;Programming;Levelling
15/10/21 11:40;60;Programación para la ciencia de datos;Programming;Levelling
15/10/21 13:00;60;Fundamentos de la ciencia de datos;Miscellany;Master
15/10/21 17:08;60;Fundamentos de la ciencia de datos;Miscellany;Master
15/10/21 18:34;60;Fundamentos de la ciencia de datos;Miscellany;Master
16/10/21 0:56;60;Programación para la ciencia de datos;Programming;Levelling
16/10/21 12:32;60;Fundamentos de la ciencia de datos;Miscellany;Master
16/10/21 13:49;60;Fundamentos de la ciencia de datos;Miscellany;Master
16/10/21 23:34;60;Programación para la ciencia de datos;Programming;Levelling
17/10/21 12:56;60;Fundamentos de la ciencia de datos;Miscellany;Master
17/10/21 14:11;60;Fundamentos de la ciencia de datos;Miscellany;Master
17/10/21 18:01;60;Fundamentos de la ciencia de datos;Miscellany;Master
17/10/21 19:01;60;Fundamentos de la ciencia de datos;Miscellany;Master
18/10/21 9:55;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
18/10/21 11:19;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
18/10/21 12:19;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
18/10/21 13:46;60;Minería de datos;Programming;Levelling
18/10/21 18:22;60;Minería de datos;Programming;Levelling
18/10/21 20:04;60;Programación para la ciencia de datos;Programming;Levelling
18/10/21 21:13;60;Programación para la ciencia de datos;Programming;Levelling
18/10/21 23:45;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/10/21 0:45;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/10/21 9:48;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/10/21 11:11;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/10/21 13:13;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
19/10/21 18:20;60;Diseño y uso de base de datos analíticas;Miscellany;Levelling
20/10/21 9:15;60;Programación para la ciencia de datos;Programming;Levelling
20/10/21 11:16;60;Programación para la ciencia de datos;Programming;Levelling
20/10/21 12:16;60;Programación para la ciencia de datos;Programming;Levelling
20/10/21 13:30;60;Programación para la ciencia de datos;Programming;Levelling
20/10/21 18:25;60;Programación para la ciencia de datos;Programming;Levelling
20/10/21 19:52;60;Programación para la ciencia de datos;Programming;Levelling
20/10/21 20:56;60;Programación para la ciencia de datos;Programming;Levelling
20/10/21 23:44;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 9:11;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 10:13;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 11:15;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 12:29;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 15:27;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 17:33;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 18:34;60;Programación para la ciencia de datos;Programming;Levelling
21/10/21 20:05;60;Programación para la ciencia de datos;Programming;Levelling
